p1,p2,cosine_to_target
UK-383367,AVN-944,0.058856829352527174
AVN-944,UK-383367,0.058856829352527174
AVN-944,actarit,0.05818092831515787
actarit,AVN-944,0.05818092831515787
UK-383367,raloxifene,0.05750918174721349
raloxifene,UK-383367,0.05750918174721349
UK-383367,KW-2478,0.0571173172986671
KW-2478,UK-383367,0.0571173172986671
clomifene,UK-383367,0.05703403234039389
UK-383367,clomifene,0.05703403234039389
flutamide,raloxifene,0.05608999074038946
raloxifene,flutamide,0.05608999074038946
UK-383367,toremifene,0.05589827137577333
toremifene,UK-383367,0.05589827137577333
flutamide,KW-2478,0.05553340865529208
KW-2478,flutamide,0.05553340865529208
flutamide,AVN-944,0.05530217746232828
AVN-944,flutamide,0.05530217746232828
UK-383367,barasertib,0.055130993920133584
barasertib,UK-383367,0.055130993920133584
AVN-944,idebenone,0.05500356049877164
idebenone,AVN-944,0.05500356049877164
raloxifene,gemifloxacin,0.05485479716897767
gemifloxacin,raloxifene,0.05485479716897767
flutamide,clomifene,0.05472995338216474
clomifene,flutamide,0.05472995338216474
clomifene,valdecoxib,0.054699195147053695
valdecoxib,clomifene,0.054699195147053695
raloxifene,actarit,0.05469474406186979
actarit,raloxifene,0.05469474406186979
cimetidine,AVN-944,0.054564821611351885
AVN-944,cimetidine,0.054564821611351885
actarit,LY-2874455,0.05439447255189822
LY-2874455,actarit,0.05439447255189822
LY-2874455,UK-383367,0.05415169501064965
UK-383367,LY-2874455,0.05415169501064965
CP-724714,raloxifene,0.054031549472297664
raloxifene,CP-724714,0.054031549472297664
AVN-944,amoxapine,0.05386207389466431
amoxapine,AVN-944,0.05386207389466431
AVN-944,gemifloxacin,0.05385194621428044
gemifloxacin,AVN-944,0.05385194621428044
nefiracetam,AVN-944,0.053840362286423776
AVN-944,nefiracetam,0.053840362286423776
ABT-202,raloxifene,0.05377372208853794
raloxifene,ABT-202,0.05377372208853794
AVN-944,valdecoxib,0.05371375679492717
valdecoxib,AVN-944,0.05371375679492717
AVN-944,CP-724714,0.053440343933455293
CP-724714,AVN-944,0.053440343933455293
CP-724714,clomifene,0.05340062174873336
clomifene,CP-724714,0.053400621748733355
raloxifene,valdecoxib,0.05339290687313051
valdecoxib,raloxifene,0.05339290687313051
AKT-inhibitor-1-2,AVN-944,0.05333904343806504
AVN-944,AKT-inhibitor-1-2,0.05333904343806504
KW-2478,gemifloxacin,0.05331278453227594
gemifloxacin,KW-2478,0.05331278453227594
gemifloxacin,clomifene,0.05313222268061791
clomifene,gemifloxacin,0.05313222268061791
flutamide,barasertib,0.05298112971084319
barasertib,flutamide,0.05298112971084319
enoxolone,AVN-944,0.052929172153662225
AVN-944,enoxolone,0.052929172153662225
idebenone,raloxifene,0.05285525463052553
raloxifene,idebenone,0.05285525463052553
drospirenone,raloxifene,0.052550086919118014
raloxifene,drospirenone,0.052550086919118014
flutamide,toremifene,0.05248610140325784
toremifene,flutamide,0.05248610140325784
