perturbagen,cosine_to_target
AKT-inhibitor-1-2,0.045474865908793245
UK-383367,0.04528276195555112
flutamide,0.0437061272039289
AVN-944,0.04351164081020765
raloxifene,0.04310210416804655
LCL-161,0.04304597849563975
drospirenone,0.04267411870132088
gemifloxacin,0.042570565651502065
KW-2449,0.04238274831492411
CP-724714,0.04100945198602311
GSK-1059615,0.04092920930374336
amuvatinib,0.040495341040905825
actarit,0.040303050004711065
clomifene,0.039414988683980495
nefiracetam,0.03937866665444864
toremifene,0.03937765825699369
idebenone,0.039008126655287155
barasertib,0.038913168428641814
SU-014813,0.03889610750551386
mibampator,0.038502601014513624
LY-2874455,0.03849578483485445
sirolimus,0.03844165299764543
valdecoxib,0.03832931843055684
enoxolone,0.038256739751963365
cimetidine,0.037585965956953994
senicapoc,0.037249029530255044
cordycepin,0.03719192292182054
mizolastine,0.037092194318775445
vincamine,0.03700259456589222
ABT-202,0.036833238821948784
esculin,0.03658942523447742
rociletinib,0.03651775911398127
tizanidine,0.036463892228360904
AMG-232,0.036283003133371565
ganetespib,0.03627559433768564
diphenylpyraline,0.03625034806134395
nepafenac,0.0361257110834118
GDC-0941,0.03605031122559073
cefoperazone,0.03594696480187526
KW-2478,0.03590641208053975
lesinurad,0.035834777353122106
amoxapine,0.03568693357540194
NVP-TAE684,0.03535358427103094
NVP-AEW541,0.03532341774117488
isoconazole,0.03529609063526415
tozasertib,0.035237398704268674
honokiol,0.03522506538895526
pritelivir,0.03517932615609334
MK-2206,0.03516307848398692
ciprofloxacin,0.03510401946483735
PD-153035,0.035045982890218305
GDC-0068,0.03502305316186932
triptorelin,0.03495333445497417
taranabant,0.03486311675134249
trehalose,0.0347424812381667
alaproclate,0.03469968027201621
fingolimod,0.03469926289442204
fenoldopam,0.03460017055380347
butaclamol,0.03458381719389906
aliskiren,0.0343930950624881
nutlin-3,0.03400439469632357
linsitinib,0.03393025276768969
bupivacaine,0.033886594274193105
tipifarnib-P2,0.033683921919295354
AGP-103,0.03365040727525008
vinburnine,0.033643709543991596
thiocolchicoside,0.03360900474068689
TAK-733,0.0335968675762112
urea,0.03352091057087996
foretinib,0.03350673786962662
etomoxir,0.033483591733853985
milacemide,0.03342548622272865
SNX-2112,0.03333095840212753
neratinib,0.03325451833848604
levosimendan,0.03316076769544396
ZK-93423,0.03310576772491092
AS-703026,0.033034073767748244
levofloxacin,0.03298902269911902
L-690330,0.032911277979612914
lisofylline,0.032904752566579154
etomidate,0.03290146503270109
SC-12267,0.03284782754699052
olanzapine,0.03281786812817906
fulvestrant,0.03266360826711707
cabergoline,0.032478314895728645
piclamilast,0.032350806300965235
crizotinib,0.032309936224813984
everolimus,0.03226535544276783
vanoxerine,0.03219651599524386
fenticonazole,0.03210628287000837
labetalol,0.03202719809460197
merimepodib,0.03201255526214619
proguanil,0.031878147602249884
ecabet,0.031656785184892164
mestranol,0.031545550165294256
anamorelin,0.03152281093747026
xaliproden,0.03150440467210606
perindopril,0.03138842388232043
telotristat,0.03135558503402344
etoricoxib,0.03125347727180374
BVD-523,0.031231548640816547
MLN-0128,0.031174473007228726
cinoxacin,0.03100257096097127
oxybenzone,0.030991198770713213
tecastemizole,0.030981557211007787
OSI-027,0.030968397762910604
AZD-4547,0.030909650087606134
fluorouracil,0.030770049802020794
amlexanox,0.03076924998304141
nafamostat,0.03070266073338848
latanoprost,0.030590109820598073
PF-02545920,0.030519024805101356
idasanutlin,0.03049149315475054
clofoctol,0.03042768763612572
dovitinib,0.030426111639243004
osimertinib,0.03041599643881295
dexamethasone,0.030237822961316076
andarine,0.030165269935575098
mycophenolic-acid,0.030153841592561282
isoniazid,0.0300033000778597
cyclobenzaprine,0.029960914355151677
benzydamine,0.029681429822020697
PIK-93,0.02956689975971495
acivicin,0.02955314206427017
